slug,title,author,language,genre_category,length_bucket,word_count,reading_minutes,public_domain_rights_status,rights_tier,reader_status,audiobook_status,cover_status,current_production_status,audiobook_naturalness_status,asr_source_status,sync_tier,audio_provider,known_blockers,marketing_hook,target_audience,estimated_audiobook_cost_usd,release_confidence,weighted_launch_fitness
book-a74c1a1451,দালিয়া,রবীন্দ্রনাথ ঠাকুর,ben,bengali-classics,short,2214,9,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.1993,0.9,8.43
book-ef193ffc52,দিদি,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,short,2982,13,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.2684,0.9,8.43
book-63afd5e9be,দেনাপাওনা,রবীন্দ্রনাথ ঠাকুর,ben,bengali-classics,short,1874,8,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_EXACT_1600X2400_CONTENT_SPECIFIC_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.1687,0.9,8.43
book-ac5a71075e,পোস্টমাস্টার,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,short,1697,7,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.1527,0.9,8.43
book-4968248842,বলাই,রবীন্দ্রনাথ ঠাকুর,ben,gothic-fiction,short,1274,5,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Gothic atmosphere and suspense for short-form literary discovery.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.1147,0.9,8.43
book-5704b31005,বিচারক,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,short,2015,8,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.1814,0.9,8.43
book-2ddbed8293,ব্যবধান,রবীন্দ্রনাথ ঠাকুর,ben,bengali-classics,short,1310,6,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.1179,0.9,8.43
book-88ded9b47c,মানভঞ্জন,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,short,2915,12,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.2624,0.9,8.43
book-5aedda79fe,শাস্তি,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,short,2919,12,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.2627,0.9,8.43
book-a4a369483f,সম্পত্তি সমর্পণ,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,short,2297,10,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.2067,0.9,8.43
book-fbdf2991ab,সুভা,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,short,1433,7,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.129,0.9,8.43
book-d2fe532e1c,স্বর্ণমৃগ,রবীন্দ্রনাথ ঠাকুর,ben,bengali-classics,short,2985,13,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.2686,0.9,8.43
book-bfc51280b3,অতিথি,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,medium,5069,21,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.4562,0.83,7.28
bn-027,অপরিচিতা,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,medium,4054,17,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.3649,0.83,7.28
bn-041,আঁধারে আলো,শরৎচন্দ্র চট্টোপাধ্যায়,ben,literary-fiction,medium,5066,21,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.4559,0.83,7.28
bn-060,ইন্দিরা,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ben,literary-fiction,medium,5711,24,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.514,0.83,7.28
book-9a7f771921,কর্মফল,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,medium,9636,40,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.8672,0.83,7.28
book-edfcf810c5,ক্ষুধিত পাষাণ,রবীন্দ্রনাথ ঠাকুর,ben,gothic-fiction,medium,3364,14,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Gothic atmosphere and suspense for short-form literary discovery.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.3028,0.83,7.28
book-c85323409f,জীবিত ও মৃত,রবীন্দ্রনাথ ঠাকুর,ben,gothic-fiction,medium,3459,15,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Gothic atmosphere and suspense for short-form literary discovery.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.3113,0.83,7.28
book-b9d47814a8,নিশীথে,রবীন্দ্রনাথ ঠাকুর,ben,gothic-fiction,medium,3512,15,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Gothic atmosphere and suspense for short-form literary discovery.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.3161,0.83,7.28
book-95624627d5,মধ্যবর্তিনী,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,medium,3585,15,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.3227,0.83,7.28
bn-031,মহেশ,শরৎচন্দ্র চট্টোপাধ্যায়,ben,literary-fiction,medium,3307,14,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.2976,0.83,7.28
book-5461971092,মেঘ ও রৌদ্র,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,medium,7459,31,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.6713,0.83,7.28
radharani,রাধারাণী,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ben,literary-fiction,medium,5959,25,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.5363,0.83,7.28
book-827fdc7aee,রাসমণির ছেলে,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,medium,10546,44,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.9491,0.83,7.28
book-a23625bf36,সমাপ্তি,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,medium,5515,23,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.4964,0.83,7.28
book-c307a57868,স্ত্রীর পত্র,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,medium,4607,19,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.4146,0.83,7.28
book-0986aeb7e3,হৈমন্তী,রবীন্দ্রনাথ ঠাকুর,ben,literary-fiction,medium,3954,17,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.3559,0.83,7.28
book-0fbdaa730e,গুপ্তধন,রবীন্দ্রনাথ ঠাকুর,ben,adventure,medium,4616,19,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,,Classic literature positioned through a premium reader-first edition.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.4154,0.83,6.85
yugalanguriya,যুগলাঙ্গুরীয়,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ben,adventure,medium,4309,18,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,,Classic literature positioned through a premium reader-first edition.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.3878,0.83,6.85
bn-066,আনন্দমঠ,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ben,history-strategy,long,31456,133,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,LONG_FORM_AUDIO_COST_AND_QA_RISK,"Land, power, and memory with strong Bengali cultural resonance.","Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",2.831,0.75,6.17
bn-059,কমলাকান্তের দপ্তর,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ben,literary-fiction,long,18958,80,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,LONG_FORM_AUDIO_COST_AND_QA_RISK,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",1.7062,0.75,6.17
nishkriti,নিষ্কৃতি,শরৎচন্দ্র চট্টোপাধ্যায়,ben,literary-fiction,long,13685,58,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,LONG_FORM_AUDIO_COST_AND_QA_RISK,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",1.2317,0.75,6.17
bn-035,বড়দিদি,শরৎচন্দ্র চট্টোপাধ্যায়,ben,literary-fiction,long,12075,51,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,LONG_FORM_AUDIO_COST_AND_QA_RISK,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",1.0868,0.75,6.17
bn-036,মেজদিদি,শরৎচন্দ্র চট্টোপাধ্যায়,ben,literary-fiction,long,13001,55,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,LONG_FORM_AUDIO_COST_AND_QA_RISK,Compact human drama suited to quote cards and audio teasers.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",1.1701,0.75,6.17
lokrahasya,লোকরহস্য,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ben,history-strategy,long,20800,88,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,LONG_FORM_AUDIO_COST_AND_QA_RISK,"Land, power, and memory with strong Bengali cultural resonance.","Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",1.872,0.75,6.17
mrinalini,মৃণালিনী,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ben,adventure,long,29995,127,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,CLOUDINARY_ASSIGNED,live,NOT_PROVEN,NOT_RUN,,,LONG_FORM_AUDIO_COST_AND_QA_RISK,Classic literature positioned through a premium reader-first edition.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",2.6996,0.75,5.75
devdas,দেবদাস / Devdas,Sarat Chandra Chattopadhyay,ben,bengali-classics,long,24988,105,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,LONG_FORM_AUDIO_COST_AND_QA_RISK,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",2.2489,0.75,5.7
pather-panchali,পথের পাঁচালী / Pather Panchali,Bibhutibhushan Bandyopadhyay,ben,bengali-classics,long,20871,87,PASS,A,reader_ready,NOT_APPROVED_OR_NOT_RUN,DESIGNED_PLACEHOLDER_NO_SAFE_LOCAL_COVER,live,NOT_PROVEN,NOT_RUN,,,LONG_FORM_AUDIO_COST_AND_QA_RISK,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",1.8784,0.75,5.7
bn-007,নষ্টনীড়,রবীন্দ্রনাথ ঠাকুর,ben,bengali-classics,unknown,,,PASS,manifest,draft,NOT_APPROVED_OR_NOT_RUN,UNKNOWN,draft,NOT_PROVEN,NOT_RUN,,,COVER_REVIEW_OR_RUNTIME_FALLBACK_REQUIRED,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.02,0.25,5.3
bn-010,মাল্যদান,রবীন্দ্রনাথ ঠাকুর,ben,bengali-classics,unknown,,,PASS,manifest,draft,NOT_APPROVED_OR_NOT_RUN,UNKNOWN,draft,NOT_PROVEN,NOT_RUN,,,COVER_REVIEW_OR_RUNTIME_FALLBACK_REQUIRED,Bengali classic with strong cultural recall and reader-first appeal.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.02,0.25,5.3
bn-051,অনুপমার প্রেম,শরৎচন্দ্র চট্টোপাধ্যায়,ben,Unrequited Love / Devotion,unknown,,,REVIEW_REQUIRED,manifest,draft,NOT_APPROVED_OR_NOT_RUN,UNKNOWN,draft,NOT_PROVEN,NOT_RUN,,,RIGHTS_REVIEW_REQUIRED | COVER_REVIEW_OR_RUNTIME_FALLBACK_REQUIRED,Classic literature positioned through a premium reader-first edition.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.02,0,4.25
bn-033,অভাগীর স্বর্গ,শরৎচন্দ্র চট্টোপাধ্যায়,ben,Poverty / Mother-Son / Social Injustice,unknown,,,REVIEW_REQUIRED,manifest,draft,NOT_APPROVED_OR_NOT_RUN,UNKNOWN,draft,NOT_PROVEN,NOT_RUN,,,RIGHTS_REVIEW_REQUIRED | COVER_REVIEW_OR_RUNTIME_FALLBACK_REQUIRED,Classic literature positioned through a premium reader-first edition.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.02,0,4.25
bn-055,অরক্ষণীয়া,শরৎচন্দ্র চট্টোপাধ্যায়,ben,Widowhood / Society / Resilience,unknown,,,REVIEW_REQUIRED,manifest,draft,NOT_APPROVED_OR_NOT_RUN,UNKNOWN,draft,NOT_PROVEN,NOT_RUN,,,RIGHTS_REVIEW_REQUIRED | COVER_REVIEW_OR_RUNTIME_FALLBACK_REQUIRED,Classic literature positioned through a premium reader-first edition.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.02,0,4.25
bn-050,আলো ও ছায়া,শরৎচন্দ্র চট্টোপাধ্যায়,ben,Duality / Good and Evil / Human Nature,unknown,,,REVIEW_REQUIRED,manifest,draft,NOT_APPROVED_OR_NOT_RUN,UNKNOWN,draft,NOT_PROVEN,NOT_RUN,,,RIGHTS_REVIEW_REQUIRED | COVER_REVIEW_OR_RUNTIME_FALLBACK_REQUIRED,Classic literature positioned through a premium reader-first edition.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.02,0,4.25
bn-080,ইচ্ছাপূরণ,রবীন্দ্রনাথ ঠাকুর,ben,Fantasy / Wish / Children,unknown,,,REVIEW_REQUIRED,manifest,draft,NOT_APPROVED_OR_NOT_RUN,UNKNOWN,draft,NOT_PROVEN,NOT_RUN,,,RIGHTS_REVIEW_REQUIRED | COVER_REVIEW_OR_RUNTIME_FALLBACK_REQUIRED,Classic literature positioned through a premium reader-first edition.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.02,0,4.25
bn-039,একাদশী বৈরাগী,শরৎচন্দ্র চট্টোপাধ্যায়,ben,Renunciation / Devotion / Spirituality,unknown,,,REVIEW_REQUIRED,manifest,draft,NOT_APPROVED_OR_NOT_RUN,UNKNOWN,draft,NOT_PROVEN,NOT_RUN,,,RIGHTS_REVIEW_REQUIRED | COVER_REVIEW_OR_RUNTIME_FALLBACK_REQUIRED,Classic literature positioned through a premium reader-first edition.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.02,0,4.25
bn-070,কপালকুণ্ডলা,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ben,Gothic Romance / Nature / Tragedy,unknown,,,REVIEW_REQUIRED,manifest,draft,NOT_APPROVED_OR_NOT_RUN,UNKNOWN,draft,NOT_PROVEN,NOT_RUN,,,RIGHTS_REVIEW_REQUIRED | COVER_REVIEW_OR_RUNTIME_FALLBACK_REQUIRED,Classic literature positioned through a premium reader-first edition.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.02,0,4.25
bn-064,কৃষ্ণকান্তের উইল,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,ben,Tragedy / Passion / Social Drama,unknown,,,REVIEW_REQUIRED,manifest,draft,NOT_APPROVED_OR_NOT_RUN,UNKNOWN,draft,NOT_PROVEN,NOT_RUN,,,RIGHTS_REVIEW_REQUIRED | COVER_REVIEW_OR_RUNTIME_FALLBACK_REQUIRED,Classic literature positioned through a premium reader-first edition.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.02,0,4.25
bn-082,ঘরে ফেরার দিন,রবীন্দ্রনাথ ঠাকুর,ben,Homecoming / Longing / Belonging,unknown,,,REVIEW_REQUIRED,manifest,draft,NOT_APPROVED_OR_NOT_RUN,UNKNOWN,draft,NOT_PROVEN,NOT_RUN,,,RIGHTS_REVIEW_REQUIRED | COVER_REVIEW_OR_RUNTIME_FALLBACK_REQUIRED,Classic literature positioned through a premium reader-first edition.,"Bengali readers, diaspora families, students, Tagore/Bankim/Sarat fans",0.02,0,4.25
