date,day,channel,book_slug,book_title,content_type,hook,caption_draft,CTA,asset_required,owner_status
2026-07-18,Saturday,LinkedIn,book-4b944e64fa,একরাত্রি,reader hook video,Compact human drama suited to quote cards and audio teasers.,একরাত্রি: Compact human drama suited to quote cards and audio teasers. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-19,Sunday,SEO/Email,radharani,রাধারাণী,reader hook video,Compact human drama suited to quote cards and audio teasers.,রাধারাণী: Compact human drama suited to quote cards and audio teasers. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-20,Monday,YouTube Shorts,nishkriti,নিষ্কৃতি,reader hook video,Compact human drama suited to quote cards and audio teasers.,নিষ্কৃতি: Compact human drama suited to quote cards and audio teasers. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-21,Tuesday,Instagram Reels,dracula,Dracula,reader hook video,Gothic atmosphere and suspense for short-form literary discovery.,Dracula: Gothic atmosphere and suspense for short-form literary discovery. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-22,Wednesday,Facebook/WhatsApp,book-2b9853ec52,দুই বিঘা জমি,quote card,"First live Bengali audiobook: land, loss, and dignity in a compact Tagore classic.","দুই বিঘা জমি: First live Bengali audiobook: land, loss, and dignity in a compact Tagore classic. Read the edition in Earnalism.",Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-23,Thursday,Instagram Carousel,a-ghost-story,A Ghost Story,approved audio teaser,Approved comic ghost audiobook: Mark Twain turns haunting into absurdity.,A Ghost Story: Approved comic ghost audiobook: Mark Twain turns haunting into absurdity. Listen now in Earnalism.,Listen now,cover + approved 15s audio clip,planned_not_scheduled
2026-07-24,Friday,LinkedIn,muchiram-gurer-jibanchorit,মুচিরাম গুড়ের জীবনচরিত,reader hook video,Compact human drama suited to quote cards and audio teasers.,মুচিরাম গুড়ের জীবনচরিত: Compact human drama suited to quote cards and audio teasers. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-25,Saturday,SEO/Email,book-d19e96859f,গিন্নি,reader hook video,Bengali classic with strong cultural recall and reader-first appeal.,গিন্নি: Bengali classic with strong cultural recall and reader-first appeal. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-26,Sunday,YouTube Shorts,book-f5d593e1f4,রামকানাইয়ের নির্বুদ্ধিতা,reader hook video,Bengali classic with strong cultural recall and reader-first appeal.,রামকানাইয়ের নির্বুদ্ধিতা: Bengali classic with strong cultural recall and reader-first appeal. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-27,Monday,Instagram Reels,book-ac5a71075e,পোস্টমাস্টার,reader hook video,Compact human drama suited to quote cards and audio teasers.,পোস্টমাস্টার: Compact human drama suited to quote cards and audio teasers. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-28,Tuesday,Facebook/WhatsApp,the-gift-of-the-magi,The Gift of the Magi,quote card,Compact human drama suited to quote cards and audio teasers.,The Gift of the Magi: Compact human drama suited to quote cards and audio teasers. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-29,Wednesday,Instagram Carousel,the-tell-tale-heart,The Tell-Tale Heart,quote card,Gothic atmosphere and suspense for short-form literary discovery.,The Tell-Tale Heart: Gothic atmosphere and suspense for short-form literary discovery. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-30,Thursday,LinkedIn,book-1090573dff,ছুটি,reader hook video,Accessible emotional classic with student/family appeal.,ছুটি: Accessible emotional classic with student/family appeal. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-07-31,Friday,SEO/Email,book-edfcf810c5,ক্ষুধিত পাষাণ,reader hook video,Gothic atmosphere and suspense for short-form literary discovery.,ক্ষুধিত পাষাণ: Gothic atmosphere and suspense for short-form literary discovery. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-08-01,Saturday,YouTube Shorts,book-4b944e64fa,একরাত্রি,reader hook video,Compact human drama suited to quote cards and audio teasers.,একরাত্রি: Compact human drama suited to quote cards and audio teasers. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-08-02,Sunday,Instagram Reels,radharani,রাধারাণী,reader hook video,Compact human drama suited to quote cards and audio teasers.,রাধারাণী: Compact human drama suited to quote cards and audio teasers. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-08-03,Monday,Facebook/WhatsApp,nishkriti,নিষ্কৃতি,quote card,Compact human drama suited to quote cards and audio teasers.,নিষ্কৃতি: Compact human drama suited to quote cards and audio teasers. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-08-04,Tuesday,Instagram Carousel,dracula,Dracula,quote card,Gothic atmosphere and suspense for short-form literary discovery.,Dracula: Gothic atmosphere and suspense for short-form literary discovery. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-08-05,Wednesday,LinkedIn,book-2b9853ec52,দুই বিঘা জমি,reader hook video,"First live Bengali audiobook: land, loss, and dignity in a compact Tagore classic.","দুই বিঘা জমি: First live Bengali audiobook: land, loss, and dignity in a compact Tagore classic. Read the edition in Earnalism.",Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-08-06,Thursday,SEO/Email,a-ghost-story,A Ghost Story,reader hook video,Approved comic ghost audiobook: Mark Twain turns haunting into absurdity.,A Ghost Story: Approved comic ghost audiobook: Mark Twain turns haunting into absurdity. Read the edition in Earnalism.,Read the edition,graphical cover + quote/context copy,planned_not_scheduled
2026-08-07,Friday,Internal Launch Gate,bn-066,আনন্দমঠ,prelaunch candidate review,"Reader/source/cover/audiobook-clean text pass; representative audition still blocked by paid_tts.lock.","Internal only: Anandamath is a priority Bengali listening candidate after representative audition and all production gates pass.",No public Listen CTA,rights/source/clean-text/audition evidence,hold_not_public_campaign
2026-08-08,Saturday,Internal Launch Gate,pather-panchali,পথের পাঁচালী / Pather Panchali,prelaunch candidate review,"Reader exists, but full-work source proof, rights-scope review, and cover repair are required before audiobook work.","Internal only: Pather Panchali remains candidate review; do not market as an audiobook.",No public Listen CTA,source-scope/cover repair evidence,hold_not_public_campaign
